
Haciendo ping a 8.8.8.8 con 32 bytes de datos:
Respuesta desde 8.8.8.8: bytes=32 tiempo=70ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=78ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=63ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=108ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=56ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=103ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=64ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=75ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=58ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=125ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=207ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=378ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=337ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=200ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=143ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=93ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=91ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=106ms TTL=115
Respuesta desde 8.8.8.8: bytes=32 tiempo=225ms TTL=115
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
Respuesta desde 192.168.50.58: Host de destino inaccesible.
